ORDER	self	dad	mum	site	proc	HT	DBH	WD	MFA	Resistance	Sensitivity	δ¹³C	α-pinene	β-pinene	camphene	camphor	myrcene	limonene	terpinolene	total monoterpenes	gallic acid	gallocatchin	catechin	pungenol	caffeic acid	vanillin	taxifolin	quercetin	naringenin	kaempferol	apigenin	isorhamnetin	gs	WUE	Ci
1	252	0	45	1	3	-0.37294	-0.42670	-0.57824	-0.81922	-0.60935	-1.16794	-0.47726	-0.28206	-1.48780	-0.73838	0.11331	0.67358	-0.82807	NA	-0.39392	0.53794	1.30262	-0.79234	-0.21138	1.06654	0.37388	-1.37836	0.53552	-0.74933	0.44079	-0.25068	1.08227	NA	NA	NA
2	254	0	45	1	3	0.07395	-0.23417	2.13458	-0.75011	-0.42343	-0.23618	0.65845	0.81627	0.19630	0.33960	-0.48193	-0.61933	0.57954	-0.41650	0.35321	2.44189	-0.80930	-0.72806	-0.33744	0.15018	-0.19226	-0.98282	1.29668	-0.04093	1.22967	1.22965	1.82100	NA	NA	NA
3	265	0	65	1	5	-0.25802	-1.38614	2.97512	-0.76363	-0.58709	0.05235	0.37452	-1.70625	NA	-1.89953	0.34370	-0.50446	-0.60519	-0.75937	-0.50696	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	302	0	106	1	8	-1.15179	-0.52617	-0.13525	0.31662	1.45867	-1.17982	0.37452	-0.51754	-0.56341	0.15930	-0.10191	-0.56445	-0.32883	NA	-0.25957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.21200	0.21343	-0.12254
5	306	0	106	1	8	-3.25853	-3.18950	NA	NA	NA	NA	NA	0.57276	1.12024	1.26026	0.88314	1.10889	-0.22898	0.59046	0.65318	-1.36600	0.56847	0.30942	-0.51524	-1.23175	-0.28661	-0.70568	-0.97441	-0.51262	-1.60878	-0.60902	-0.58323	-0.08993	-0.62914	0.66019
6	313	0	36	1	3	-1.38162	-1.49203	-0.43281	0.37071	2.16715	-2.66318	-0.83217	-0.07779	-0.08186	0.57543	0.70154	1.02610	-0.04167	-0.10221	0.39469	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.93462	0.78343	-0.88670
7	319	0	110	1	8	0.23993	-0.32081	-1.14939	0.78388	1.24692	-2.71410	1.08434	-0.21754	-0.71251	-0.56681	-0.07297	-1.12255	0.12430	0.63087	0.06669	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.08697	0.03923	-0.33223
8	322	0	33	1	2	-0.00266	-0.00314	-0.83529	-0.09655	0.01515	-2.36617	-0.05137	0.31616	0.84831	0.88571	0.82642	-1.31648	0.02103	0.21086	0.33160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.20198	-0.18971	-0.02657
9	334	0	34	1	3	-0.13034	-0.50050	1.32750	0.90257	-0.24470	-0.12586	-0.42402	0.93222	0.98717	1.45567	0.76993	0.43546	0.71443	-0.40752	0.79133	-1.73214	-0.89536	-0.54282	0.18041	-0.87109	-0.69734	2.57894	-0.74411	4.14149	-0.61573	-1.95955	-0.32774	-0.30447	0.00695	-0.10969
10	347	0	63	1	5	-0.16226	0.23753	-0.28561	-0.67499	-1.06013	0.45968	0.25030	0.23648	0.36587	0.92322	1.11423	-1.21998	0.53054	0.36066	0.55095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.53208	-0.37899	0.76619
