ORDEN	self	dad	mum	site	proc	HT30b.s	DBH30b.s	WDb.s	lMFAb.s	C13b.s	RES2015b.s	SENb.s	α-Pineneb.s	β-Pineneb.s	Campheneb.s	Camphorb.s	Myrceneb.s	Limoneneb.s	Terpinoleneb.s	Total_monoterpenesb.s
1	252	0	45	1	3	-0.471346733	-0.472682508	-0.5782354	-0.819685261	-0.477224994	-0.609505779	-1.167934935	-0.28213	-1.487974633	-0.738522075	0.113397661	0.673671762	-0.828015235	NA	-0.393923369
2	254	0	45	1	3	-0.050475567	-0.286986751	2.13458442	-0.750266412	0.658482257	-0.42335864	-0.235807925	0.816226342	0.196101976	0.339716517	-0.481877688	-0.619229498	0.57954391	-0.416391024	0.353158903
3	265	0	65	1	5	-0.230848924	-1.339262703	2.975121921	-0.763330527	0.374555444	-0.586838242	0.052202165	-1.706216974	NA	-1.899554842	0.343603382	-0.504477042	-0.605111306	-0.759465603	-0.506954913
4	302	0	106	1	8	-1.373213518	-0.689327556	-0.135254178	0.317121569	0.374555444	1.458982539	-1.180378793	-0.517401285	-0.563273207	0.159441247	-0.101819243	-0.564569103	-0.328745797	NA	-0.259472204
5	306	0	106	1	8	-3.357320445	-3.25811885	NA	NA	NA	NA	NA	0.572823224	1.120444052	1.260157918	0.883196117	1.108988321	-0.229061739	0.590501485	0.653097691
6	313	0	36	1	3	-1.43333797	-1.555907752	-0.432805158	0.370655319	-0.83213351	2.167049576	-2.662673709	-0.077682033	-0.081872253	0.575358494	0.701604897	1.026011052	-0.041636054	-0.102148459	0.394674399
7	319	0	110	1	8	0.12989779	-0.37983463	-1.149392428	0.783456329	1.084372477	1.246575951	-2.714669706	-0.217505883	-0.712630765	-0.566703255	-0.072885151	-1.122604478	0.124416682	0.630793057	0.066680764
8	322	0	33	1	2	-0.290973376	-0.194138873	-0.835291276	-0.096379769	-0.051334775	0.01497501	-2.366427315	0.316141098	0.848512206	0.885715551	0.826525254	-1.316371204	0.021068251	0.210820255	0.331714024
9	334	0	34	1	3	-0.050475567	-0.472682508	1.327499396	0.90186122	-0.423988717	-0.244458658	-0.125626155	0.932281967	0.987147946	1.455636	0.769986978	0.435350545	0.714417876	-0.407522199	0.791225983
10	347	0	63	1	5	-0.050475567	0.270100517	-0.285614259	-0.675445661	0.250337464	-1.05995408	0.459052788	0.236536636	0.365674269	0.92310383	1.114218816	-1.219928914	0.53044117	0.360724173	0.55086973
